no.,dise code,crc no.,school name,school mgt,school cat.,c1_b,c1_g,c2_b,c2_g,c3_b,c3_g,c4_b,c4_g,c5_b,c5_g,c6_b,c6_g,c7_b,c7_g,c8_b,c8_g,c9_b,c9_g,c10_b,c10_g,c11_b,c11_g,c12_b,c12_g,tch_m,tch_f,tch_t,tchregu,tchcont,tchpart,stdcode1,phone1,mobile1,stdcode2,phone2,mobile2,email
1,24091500101,C.R.C. NO. 8,SCHOOL NO.1,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,12,13,9,10,10,9,8,15,7,12,7,16,18,12,11,31,0,0,0,0,0,0,0,0,2,5,7,7,0,0,281,2577021,9428228215,,,9429098394,rajkotmsbht1@gmail.com
2,24091500104,C.R.C. NO. 8,SCHOOL NO.16,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,9,13,8,18,13,16,13,10,6,19,13,13,11,18,13,17,0,0,0,0,0,0,0,0,0,8,8,8,0,0,,,9328388088,,,8758042984,
3,24091500108,C.R.C. NO. 1,SCHOOL NO. 89,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,40,37,40,40,50,34,42,43,49,47,46,48,43,52,31,38,0,0,0,0,0,0,0,0,4,14,18,18,0,0,,,9924022369,,,,
4,24091500109,C.R.C. NO. 1,SCHOOL NO. 91,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,83,73,96,105,81,109,73,78,84,94,77,74,84,62,62,47,0,0,0,0,0,0,0,0,8,26,34,34,0,0,281,2585614,9099909725,0,0,9377727464,
5,24091500110,C.R.C. NO. 1,SCHOOL NO. 90,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,73,64,51,41,49,58,39,45,49,45,57,52,57,48,47,51,0,0,0,0,0,0,0,0,3,24,27,27,0,0,,,8980547133,,,9924512539,rajkotmsbht90@gmail.com
6,24091500111,C.R.C. NO. 1,DHARTI VIDHYALAYA ,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,25,26,37,20,35,29,19,16,26,13,29,27,23,24,34,18,0,0,0,0,0,0,0,0,1,6,7,7,0,0,281,2578276,9727616954,,,,dharatividhyalay22@gmail.com
7,24091500112,C.R.C. NO. 1,UNNATI VIDHYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,14,21,32,16,19,20,28,13,40,21,32,30,30,22,28,22,0,0,0,0,0,0,0,0,2,11,13,13,0,0,281,2582400,9825170023,,,9825170083,unnatischool2012@gmail.com
8,24091500113,C.R.C. NO. 1,BHAVI VIDHYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,24,13,0,0,22,21,31,22,31,16,27,21,35,20,27,22,0,0,0,0,0,0,0,0,0,9,9,1,8,0,281,2574661,,,,8128874145,darsan.school2013@gmail.com
9,24091500115,C.R.C. NO. 4,NOORANIYAH ENG. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,8,10,9,11,9,11,14,13,5,9,11,9,6,9,10,7,0,0,0,0,0,0,0,0,1,12,13,13,0,0,281,2225905,9374235190,,,,nooraniyaschool@gmail.com
10,24091500118,C.R.C. NO. 1,ATRI VIDHAYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,9,6,11,11,9,7,9,10,8,10,3,3,13,6,5,5,0,0,0,0,0,0,0,0,4,3,7,7,0,0,281,2581009,9824517444,281,2581009,8866345335,
