,,,,,,c1_b,c1_g,c2_b,c2_g,c3_b,c3_g,c4_b,c4_g,c5_b,c5_g,c6_b,c6_g,c7_b,c7_g,c8_b,c8_g,c9_b,c9_g,c10_b,c10_g,c11_b,c11_g,c12_b,c12_g,tch_m,tch_f,tch_t,tchpri,tchupr,tchregu,tchcont,tchpart,,,,,,,
1,C.R.C. NO. 8,24091500101,SCHOOL NO.1,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,7,4,9,10,9,10,8,9,6,16,6,10,8,16,16,18,0,0,0,0,0,0,0,0,2,5,7,3,4,7,0,0,,,,,,,
2,C.R.C. NO. 8,24091500104,SCHOOL NO.16,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,9,11,9,9,8,16,12,14,15,9,5,18,10,9,12,15,0,0,0,0,0,0,0,0,0,7,7,5,2,7,0,0,,,,,,,
3,C.R.C. NO. 1,24091500108,SCHOOL NO. 89,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,43,37,44,38,37,42,54,41,40,43,40,48,47,46,40,41,0,0,0,0,0,0,0,0,4,14,18,11,7,18,0,0,,,,,,,
4,C.R.C. NO. 1,24091500109,SCHOOL NO. 91,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,96,84,73,73,88,105,86,110,74,83,86,85,78,63,85,56,0,0,0,0,0,0,0,0,7,26,33,23,10,33,0,0,,,,,,,
5,C.R.C. NO. 1,24091500110,SCHOOL NO. 90,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,56,80,47,46,47,41,49,60,37,48,44,47,55,49,56,49,0,0,0,0,0,0,0,0,3,22,25,14,11,25,0,0,,,,,,,
6,C.R.C. NO. 1,24091500111,DHARTI VIDHYALAYA ,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,23,36,33,27,38,24,39,32,36,20,22,15,31,25,19,21,0,0,0,0,0,0,0,0,2,8,10,5,5,10,0,0,,,,,,,
7,C.R.C. NO. 1,24091500112,UNNATI VIDHYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,26,25,18,15,21,23,15,17,25,12,29,20,23,24,27,17,0,0,0,0,0,0,0,0,2,9,11,6,5,11,0,0,,,,,,,
8,C.R.C. NO. 1,24091500113,BHAVI VIDHYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,25,15,24,12,19,12,19,15,26,23,30,15,26,24,28,23,0,0,0,0,0,0,0,0,0,10,10,7,3,1,9,0,,,,,,,
9,C.R.C. NO. 4,24091500115,NOORANIYAH ENG. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,13,4,7,10,10,11,10,12,13,9,5,10,8,9,4,5,0,0,0,0,0,0,0,0,1,13,14,9,5,14,0,0,,,,,,,
10,C.R.C. NO. 1,24091500118,ATRI VIDHAYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,12,15,8,6,14,10,8,5,11,10,5,6,5,2,13,5,0,0,0,0,0,0,0,0,3,3,6,4,2,1,5,0,,,,,,,
11,C.R.C. NO. 1,24091500119,DIVAYN PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,3,1,2,3,0,0,,,,,,,
12,C.R.C. NO. 1,24091500120,PURUSARTH VIDHAYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,14,7,13,8,14,10,16,17,22,9,23,11,26,12,27,6,0,0,0,0,0,0,0,0,2,6,8,4,4,0,8,0,,,,,,,
13,C.R.C. NO. 1,24091500121,NIDHI PRI. SCHOOL(NIDHI SCHOOL),Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,38,35,17,19,19,20,16,29,6,22,18,16,18,13,15,11,0,0,0,0,15,5,0,0,3,12,15,6,7,13,2,0,,,,,,,
14,C.R.C. NO. 1,24091500123,PRISHARAM PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,2,1,5,0,3,1,6,2,3,3,10,3,8,2,14,2,0,0,0,0,0,0,0,0,2,6,8,5,3,2,6,0,,,,,,,
15,C.R.C. NO. 1,24091500124,NEST ENG.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,7,4,11,7,5,4,8,1,4,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,5,0,5,0,0,,,,,,,
16,C.R.C. NO. 1,24091500125,NAVJIVAN PR.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,8,4,10,3,10,2,9,6,8,6,5,7,10,3,12,7,0,0,0,0,0,0,0,0,8,0,8,4,4,8,0,0,,,,,,,
