s.no,crc_no,dise_code,school_name,mgmt,school_level,c1_b,c1_g,c2_b,c2_g,c3_b,c3_g,c4_b,c4_g,c5_b,c5_g,c6_b,c6_g,c7_b,c7_g,c8_b,c8_g,c9_b,c9_g,c10_b,c10_g,c11_b,c11_g,c12_b,c12_g,tch_m,tch_f,tch_t,tchpri,tchupr,tchregu,tchcont,tchpart,std,phone_1,mobile_1,phone_2,mobile_2,email,website
1,C.R.C. NO. 8,24091500101,SCHOOL NO.1,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,4,2,3,4,13,8,7,10,10,12,6,16,7,8,15,15,0,0,0,0,0,0,0,0,1,4,5,2,3,5,0,0,281,2577021,9428228215,,9429098394,rajkotmsbht1@gmail.com,
2,C.R.C. NO. 8,24091500104,SCHOOL NO.16,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,10,10,8,8,9,9,8,17,13,14,19,9,5,19,13,12,0,0,0,0,0,0,0,0,0,7,7,5,2,7,0,0,,,9328388088,,8758042984,,
3,C.R.C. NO. 1,24091500108,SCHOOL NO. 89,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,44,38,43,30,43,37,38,42,51,40,42,43,48,47,37,30,0,0,0,0,0,0,0,0,4,14,18,11,7,18,0,0,,,9924022369,,9924022369,,
4,C.R.C. NO. 1,24091500109,SCHOOL NO. 91,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,76,79,78,84,69,67,94,97,96,115,73,84,81,70,91,58,0,0,0,0,0,0,0,0,9,27,36,23,13,36,0,0,281,2585614,9099909725,0,9377727464,,
5,C.R.C. NO. 1,24091500110,SCHOOL NO. 90,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,47,45,42,70,42,60,60,42,52,62,46,51,39,42,56,48,0,0,0,0,0,0,0,0,3,21,24,14,10,24,0,0,,,8980547133,,9924512539,rajkotmsbht90@gmail.com,
6,C.R.C. NO. 1,24091500111,DHARTI VIDHYALAYA ,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,46,31,23,33,34,35,36,27,35,31,43,17,25,15,31,19,0,0,0,0,0,0,0,0,2,8,10,5,5,10,0,0,281,2578276,9727616954,,9727616954,dharatividhyalay22@gmail.com,
7,C.R.C. NO. 1,24091500112,UNNATI VIDHYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,27,18,14,19,15,17,21,18,15,15,22,9,27,19,23,19,0,0,0,0,0,0,0,0,1,10,11,6,5,11,0,0,281,2582400,9825170023,,9825170083,unnatischool2012@gmail.com,
8,C.R.C. NO. 1,24091500113,BHAVI VIDHYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,21,21,26,14,21,13,18,12,14,17,28,19,26,15,23,25,0,0,0,0,0,0,0,0,1,10,11,7,4,2,9,0,281,2574661,8128874145,,8128874145,darsan.school2013@gmail.com,
9,C.R.C. NO. 4,24091500115,NOORANIYAH ENG. SCHOOL,Pvt. Unaided                                                               ,Pr. Up Pr. and Secondary Only                                              ,5,18,14,3,6,10,12,10,12,11,15,9,5,9,6,8,9,0,15,0,0,0,0,0,1,13,14,8,5,14,0,0,281,2225905,9374235190,,,nooraniyahschool@gmail.com,
10,C.R.C. NO. 1,24091500118,ATRI VIDHAYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,8,5,12,12,8,6,12,8,3,8,6,9,4,8,4,1,0,0,0,0,0,0,0,0,3,3,6,4,2,2,4,0,281,2581009,9712999933,2581009,8866345335,mandaviyanb@gmail.com,
11,C.R.C. NO. 1,24091500119,DIVAYN PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,1,0,2,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,3,1,2,3,0,0,281,2574508,9924266356,,9924266356,,
12,C.R.C. NO. 1,24091500120,PURUSARTH VIDHAYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,15,11,11,9,14,6,13,9,17,15,19,8,19,8,27,8,0,0,0,0,0,0,0,0,2,5,7,3,4,2,5,0,281,2584295,9824877454,,9824877454,purusharthschool@gmail.com,
13,C.R.C. NO. 1,24091500121,NIDHI PRI. SCHOOL(NIDHI SCHOOL),Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,26,33,36,27,18,17,21,19,15,26,7,22,13,16,11,20,0,0,0,0,0,0,0,0,4,13,17,6,7,17,0,0,281,2579342,9898500342,,9909400342,nidhischoolrajkot@gmail.com,www.nidhischool.com
14,C.R.C. NO. 1,24091500123,PRISHARAM PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,2,2,3,1,4,1,5,2,5,4,4,2,8,2,5,3,0,0,0,0,0,0,0,0,2,6,8,5,3,2,6,0,281,,9429048483,,9429048483,parishrameducation78@gmail.com,
15,C.R.C. NO. 1,24091500124,NEST ENG.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,9,7,4,3,10,6,4,3,8,1,3,1,1,4,0,0,0,0,0,0,0,0,0,0,2,3,5,4,1,5,0,0,281,2589180,9979908009,,9979908009,,
16,C.R.C. NO. 1,24091500125,NAVJIVAN PR.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,11,6,10,10,16,9,10,10,12,9,11,7,14,3,16,11,0,0,0,0,0,0,0,0,8,0,8,4,4,8,0,0,281,2587589,9825258056,,9428792058,,
17,C.R.C. NO. 1,24091500126,AKSHAR GHANMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,26,19,11,20,15,18,21,27,18,15,7,9,8,16,10,4,0,0,0,0,0,0,0,0,0,16,16,8,8,16,0,0,281,2588685,,,,aksharschool111@gmail.com,
18,C.R.C. NO. 1,24091500129,GYANDIP VIDYALAY,Pvt. Unaided                                                               ,Pr. Up Pr. and Secondary Only                                              ,24,30,27,26,27,24,35,26,39,35,23,28,47,44,41,24,40,36,10,8,0,0,0,0,2,6,8,4,3,8,0,0,281,2572833,9898070607,,9925409089,gyandeepvidhyalay@gmail.com,
19,C.R.C. NO. 1,24091500130,MADHURAM VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,7,4,10,7,5,5,9,7,14,12,12,10,7,6,13,9,0,0,0,0,0,0,0,0,1,1,2,1,1,2,0,0,281,2571441,9726549750,,9726549750,,
20,C.R.C. NO. 1,24091500132,S H GARDI VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,1,1,0,0,0,1,2,1,0,4,3,3,2,2,2,0,0,0,0,0,0,0,0,2,0,2,1,1,2,0,0,281,,9374816770,,9374816770,,
21,C.R.C. NO. 1,24091500133,SHREE DARSAN VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,25,18,23,17,21,13,15,13,15,17,27,21,25,17,25,25,0,0,0,0,0,0,0,0,2,9,11,5,6,11,0,0,281,2574661,8128874145,,8128874145,darsan.school12013@gmail.com,
22,C.R.C. NO. 1,24091500135,AKSHAR JYOT VIDYALAY,Pvt. Unaided                                                               ,Pr. Up Pr. and Secondary Only                                              ,18,17,18,18,17,18,20,16,19,18,17,21,18,22,20,20,19,18,17,19,0,0,0,0,0,8,8,4,3,8,0,0,281,2455245,9426222266,,9714862266,,
