s.no,survey_school_name,ss_address,ss_phone_1,ss_phone_2,ss_phone_3,Remark
1,Shri Tridal School,"Chandan Park, Raiyya Ring Road, Near Paradise Hall, Rajkot",9409579282,,,
2,Swami Vivekanand School,,,,,
3,Jeevan Jyot School,,,,,
4,Dr Jivraj Mehta School ,,,,,
5,S.N.K. School ,"SNK Campus, University Road , Nana Mava, Rajkot - 360005",,,,* Sarojben Memorial Opportunity School (Gujarati Medium) / The Mohan Scholars (English Medium)
6,Nirmala Open School ,,,,,
7,Ganesh School,,,,,
8,Unnati School,"Opposite Sterling Hospital, S.K. Chowk, 150 ft Ring Road, Rajkot",,,,
9,Shree Dharti Shaikshnik School,"Harsiddhi Gram Society, 150 feet Ring Road, Opposite Gandhigram Police Station",,,,Dharti vidyalaya
10,Dr Uchrang Rai Dhebar Prathmik Shala No. 90,,,,,
11,G T Sheth Vidyalaya,"KKV Hall, Kalawad Road, Rajkot-360005",2577778,,,
12,The Divine School,,,,,
13,Parivartan Vidyalaya ,"Kanhaiya Chowk, Raiyya Road, Rajkot",9898708831,,,
14,Madhuram Vidyalaya,"S.K. Chowk, Gandhigram, 150 ft Ring Road",0281- 2571441,,,
15,New Ea School,"Sojitra Nagar Main Road Raiya Road, Rajkot, Gujarat 360001",0281-2446441,0281-2471649,,
16,Jain Bal Ashram ," 8,Rajputpara, Opp. Lodhawad Police Chowky,Rajkot 36001",0281-2222428,,,
17,PB Kotak School,"Moti Tanki Chowk, Near Red Cross Building, Rajkot",0281-2480398,,,
18,Kanya Shala No. 3,,,,,
19,Shri Lal Bahadur Shastri Kanya Vidyalaya,"Sadar Bazar, Dr Radhakrishna Road, Rajkot- 360001",0281- 2446532,,,
20,Vishwa Jyoti Vidyalaya,,,,,
21,Parishram School,,,,,
22,Maruti School,,,,,
23,"Kavi Shri Rabindranath Tagore, 64/B",,,,,
24,Kalyan High School,,,,,
25,Modi School,"150 ft. Ring Road, Opp. Ganesh TATA Show Room, Near. Raiya Road Telephone Exchange, Rajkot"," 0281 - 2583386, 2585728, 2583371, 2583372",,,
26,Rosary Education System,"Chandan Park, Main Road, Raiyya Chowk, 150 ft Ring Road- 360005",0281-6590646,,,
27,Rosary Education System(Primary School),"1, Somnath Plots, 150 ft Ring Road, Rajkot- 360005",0281-2577447,,,
28,J.K School,"150 ft Ring Road, Rajkot",0281-2583262,,,
29,"Eklavya School, No. 18",,,,,
30,Shri Kotecha Girls High School,"Kotecha Nagar, Kalawad Road, Rajkot- 360001",2454710,,,
31,Shri Shiv Shakti School,,,,,
32,Sadhu Vaswani School,,,,,
33,Shiv Shakti Prathmik Shala ,,,,,
34,Somnath School,,,,,
35,Sunrise School,"Sadhu Vaswani Kunj Road, Near Rail Nagar, Ami Residency, Rajkot",9723814444,,,
36,Shree Nanasaheb Peshwa Primary School No. 33,Popatpara,9737934444,,,
37,Anand School,,,,,
38,P & B School ,"Rail Nagar, 40 feet Road, Behind Bharat Petrol Pump, Rajkot- 360001",9427728171,,,
39,Shri Kadvi Bai Virani Kanya Vidyalaya,"Dhebar Road, Rajkot- 2227213",0281- 2227213,,,
40,I P Mission Girls School,"Near Bedi Naka, Kesri Pul, Lohana Para, Rajkot- 360001",0281-2223794,,,
41,Satya Prakash School ,,,,,
42,Ample School ,"Kerala Park, Behind Raiyya Village",8000140400,,,
43,Nalanda Vidya Mandir,"Sahkar Main Road, Virat Nagar",0281-2323233,,,
44,Dhodkiya School,,,,,
45,Shreyansh School ,Bajrangwadi,,,,
46,Crystal School,Jamnagar Main Road,0281-2925050,,,
47,Maa Santoshi School ,,,,,
48,Innovative School,"University Road, Opposite Sarveshwar Mandir, Shakti Nagar, Rajkot- 360005",0281-2577339,0281-2572768,,
49,Jawahar Shishu Vidyalaya ,Rail Nagar,,,,
50,Shree Nathji School,Rail Nagar Main Road,9427730744,,,
51,Vidya Sagar,Pedak Road,9925514795,,,
52,Darshan School,,,,,
53,Maruti Motherland School,,,,,
54,Shiv Kunj School ,"Rail Nagar Main Road, Rajkot",,,,
55,Virani High School,,,,,
56,Sindhi High School,,,,,
57,Kendriya Vidyalaya,"Kalavad road, Near Atmiya College",0281-25773501,2812574522,0281-2588778,
58,Shree Aashirwaad School,"Bhagwati Nagar, Maharana Pratap Township, Near Bhagwati Party Plot, Morbi Road, Rajkot",8000408108,,,
59,Little Lord's Pre School ,"Nirmala School Road, Kotecha Chowk, Kalawad Road. Rajkot - 360005",9428038843,,,
60,Sahajanand School,Madhapar Chowk,,,,
61,Gyan Ganga School ,,,,,
62,Muralidhar School ,,,,,
63,St Mary School,,,,,
64,Dholakiya School,,,,,
65,Bharad School,Hemu Gadvi Hall,,,,
66,Lal Bahadur Shastri School,,,,,
67,The Mother Mirambica English Medium School,"Ambaji Kadva Plot Main Road, Rajkot",0281-2380144,,,
68,Polestar Primary School,,,,,
69,Blossom Kindergarten Primary School ,,,,,
70,Gajanand Prathmik Shala,,,,,
71,Parth Vidyalaya,,,,,
72,Kanta Vikas School,,,,,
73,Saifi High School ,Pedak Road,0281-2701229,,,
74,Sanskar Dham Vidyalaya School,,,,,
75,Mazhar Kanya Vidyalaya,,,,,
76,Sinhar School,,,,,
77,Masoom Vidyalaya,"Pedak Road, Near RTO",,,,
78,Vidya Vikas School,,,,,
79,Bhushan School,"Ranchod Nagar Society, Kuwadva Road, Rajkot",9974650060,,,
80,Ramesh Bhai Chayya School,,,,,
81,Eknath Ranade School,,,,,
82,Nirmala Convent School,,,,,
